artist,collab_songs,type,genres,collab_individuals,country
Arcángel,163,Man,"Latin, Reggaeton",37,Puerto Rico
Luan Santana,9,Man,"Country, Pop, Sertanejo, Sertanejo universitário, Singer-songwriter",6,Brazil
50 Cent,241,Man,"East coast hip hop, Gangsta rap, Hardcore hip hop, Hip hop, Pop rap",26,United States
Nicki Nicole,19,Woman,Sense dades,12,Argentina
María Becerra,17,Woman,"Latin, Reggaeton",17,Argentina
Ana Castela,2,Woman,"Dance-pop, Electronic, Latin pop",2,Brazil
Stromae,5,Man,"Dance-pop, Electro house, Electropop, Hip house",3,Other countries
Jason Derulo,49,Man,"Contemporary r&b, Dance, Dance-pop, Pop, R&b",24,United States
Farruko,150,Man,"Latin, Reggaeton",43,Puerto Rico
Camila Cabello,35,Woman,"Dance-pop, Electropop, Latin pop, Pop, R&b",25,United States
Cris Mj,1,Man,Sense dades,3,Other countries
Maiara & Maraisa,44,Band,Sense dades,6,Brazil
Marília Mendonça,46,Woman,"Sertanejo, Sertanejo universitário",7,Brazil
Jung Kook,11,Man,"Edm, K-pop, Pop, R&b",7,South Korea
De La Ghetto,78,Man,"Latin, Reggaeton",42,Puerto Rico
SZA,46,Woman,"Chillwave, Contemporary r&b, Electronic, Hip hop soul, Neo soul, R&b",27,United States
Zion & Lennox,80,Band,"Latin, Reggaeton",34,Puerto Rico
Tyga,198,Man,"Hip hop, Pop rap",43,United States
blackbear,22,Man,Hip hop,12,United States
Pusha T,98,Man,"Boom bap, East coast hip hop, Gangsta rap, Hardcore hip hop, Hip hop, Southern hip hop",33,United States
Zé Felipe,10,Man,Sense dades,8,Brazil
GIVĒON,7,Man,R&b,4,United States
Topher Ngo,10,Band,Sense dades,5,Other countries
Dua Lipa,39,Woman,Sense dades,27,United Kingdom
Tems,12,Woman,Sense dades,8,Nigeria
Sean Paul,52,Man,"Dance-pop, Dancehall, Electropop, Hip hop, Pop, Ragga, Reggae",33,Other countries
PSY,4,Man,"K-pop, Pop rap",4,South Korea
Villano Antillano,3,Non-binary,Sense dades,3,Puerto Rico
Pharrell Williams,179,Man,"Contemporary r&b, Hip hop, Pop, Pop rap, Pop soul, Soul",39,United States
Joji,2,Man,"Ballad, Lo-fi hip hop",2,United States
Juice WRLD,78,Man,"Emo rap, Hip hop, Trap",28,United States
Playboi Carti,65,Man,"Cloud rap, Hip hop, Plugg, Southern hip hop, Trap",16,United States
Swae Lee,40,Man,"Hip hop, Pop rap, Trap",28,United States
Polimá Westcoast,8,Man,Sense dades,7,Other countries
